name,value
Mary,701760
Dorothy,368874
Helen,290406
Betty,283098
Margaret,245008
Ruth,218522
Virginia,169555
Doris,151192
Mildred,147155
Frances,140387
Elizabeth,139675
Evelyn,124165
Anna,123896
Marie,110564
Alice,110527
Jean,105999
Shirley,98602
Barbara,97213
Irene,92836
Marjorie,91222
Florence,88294
Lois,88131
Martha,86789
Rose,85307
Lillian,83155
Louise,82895
Catherine,78883
Ruby,76733
Eleanor,74759
Patricia,74736
Gladys,72561
Annie,69468
Josephine,69222
Thelma,68768
Edna,68629
Norma,65240
Pauline,64073
Lucille,63881
Edith,62989
Gloria,62855
Ethel,62804
Phyllis,61869
Grace,60062
Hazel,58984
June,56483
Bernice,55840
Marion,55178
Dolores,51990
Rita,50588
Lorraine,49939
Ann,49810
Esther,49231
Beatrice,49229
Juanita,48547
Clara,48183
Jane,48049
Geraldine,48044
Sarah,46769
Emma,46537
Joan,45351
Joyce,44175
Nancy,43805
Katherine,42745
Gertrude,42459
Elsie,42099
Julia,40331
Agnes,39222
Wilma,39125
Marian,38978
Bertha,38571
Eva,38046
Willie,37814
Audrey,37550
Theresa,36666
Vivian,36572
Wanda,36007
Laura,35993
Charlotte,35753
Ida,35619
Elaine,34908
Anne,34512
Marilyn,34203
Kathryn,33791
Maxine,33743
Kathleen,33598
Viola,33251
Pearl,32774
Vera,32542
Bessie,32160
Myrtle,30567
Alma,30436
Beverly,30205
Violet,30022
Nellie,29689
Ella,29519
Lillie,29382
Jessie,29289
Jeanne,29119
Eileen,28588
Ellen,28392
Lucy,27434
Minnie,26906
Sylvia,26842
Donna,26160
Leona,26031
Rosemary,25967
Stella,25901
Mattie,25522
Margie,25496
Genevieve,24780
Mabel,24522
Janet,23975
Geneva,23273
Georgia,23229
Bonnie,23172
Carol,22980
Velma,22875
Lena,22844
Carolyn,22775
Mae,22758
Jennie,22591
Maria,22588
Christine,22335
Arlene,21960
Peggy,21872
Marguerite,21785
Opal,21542
Sara,21100
Loretta,21070
Harriet,20872
Rosa,20793
Muriel,20481
Eunice,20172
Jeanette,19783
Blanche,19619
Carrie,19126
Emily,18754
Beulah,18627
Billie,18471
Dora,18334
Roberta,18220
Hilda,18191
Naomi,18184
Anita,18054
Jacqueline,17882
Alberta,17862
Inez,17597
Delores,16462
Fannie,16456
Hattie,16369
Lula,16316
Verna,16264
Cora,16160
Constance,15570
Madeline,15558
Miriam,15505
Ada,15134
Claire,14994
Mamie,14808
Lola,14654
Rosie,14290
Erma,14260
Rachel,14200
Mable,14010
Flora,13962
Daisy,13659
Sally,13474
Marcella,13397
Bette,13273
Olga,12788
Caroline,12694
Laverne,12642
Sophie,12552
Nora,12300
Rebecca,12283
Estelle,12280
Irma,12238
Susie,12179
Eula,12160
Winifred,12083
Eloise,11923
Janice,11810
Maggie,11696
Antoinette,11578
Nina,11329
Rosalie,11297
Imogene,11296
Lorene,11243
Olive,10889
Sadie,10846
Regina,10676
Victoria,10547
Henrietta,10453
Della,10366
Bettie,10335
Lila,10304
Fern,10254
Faye,10233
Johnnie,10065
Jeannette,9992
