name,value
Robert,576376
John,564062
James,515308
William,512403
Charles,298035
George,261951
Joseph,243815
Richard,222605
Edward,197351
Donald,191823
Thomas,161114
Frank,151830
Harold,133598
Paul,132391
Raymond,124214
Walter,119810
Jack,115985
Henry,104555
Kenneth,99492
Arthur,97115
Albert,94435
David,88744
Harry,86182
Eugene,84755
Ralph,84467
Howard,70349
Carl,69852
Willie,67993
Louis,67694
Clarence,66576
Earl,63604
Roy,63260
Fred,62741
Joe,62675
Francis,59097
Lawrence,56867
Herbert,56530
Leonard,53795
Ernest,53654
Alfred,50156
Anthony,50057
Stanley,49456
Norman,49363
Gerald,44523
Daniel,43421
Samuel,43365
Bernard,42410
Billy,42094
Melvin,40583
Marvin,39588
Warren,38775
Michael,37897
Leroy,37871
Russell,37209
Leo,36960
Andrew,35955
Edwin,35255
Elmer,34919
Peter,34071
Floyd,33157
Lloyd,33127
Ray,32048
Frederick,31514
Theodore,31288
Clifford,31243
Vernon,29433
Herman,29012
Clyde,28957
Chester,28434
Philip,27269
Alvin,26872
Lester,26512
Wayne,26403
Vincent,26240
Gordon,25622
Leon,25577
Lewis,25327
Charlie,25176
Glenn,25156
Calvin,24783
Martin,24243
Milton,24197
Lee,23556
Jesse,23170
Dale,22750
Cecil,22528
Bill,22291
Harvey,21786
Roger,21755
Victor,21498
Benjamin,21029
Wallace,20915
Ronald,20898
Sam,20843
Allen,20091
Arnold,19531
Willard,18442
Gilbert,18233
Edgar,18037
Oscar,17740
Gene,17579
Jerry,17450
Douglas,17302
Johnnie,17294
Claude,16999
Don,16941
Eddie,16924
Roland,16879
Everett,16473
Maurice,16160
Curtis,16137
Marion,16035
Virgil,15993
Wilbur,15713
Manuel,15665
Stephen,15559
Jerome,15453
Homer,15145
Leslie,15065
Glen,14967
Jessie,14796
Hubert,14696
Jose,14448
Jimmie,14358
Sidney,14201
Morris,14141
Hugh,14107
Max,14081
Bobby,13879
Bob,13691
Nicholas,13610
Luther,13197
Bruce,13180
Wesley,12861
Rudolph,12561
Alexander,12540
Franklin,12509
Tom,11924
Irving,11898
Horace,11776
Willis,11704
Patrick,11462
Steve,11354
Johnny,11343
Dean,11157
Julius,10982
Keith,10915
Oliver,10899
Earnest,10869
Ben,10609
Jim,10565
Tony,10399
Edmund,10206
Lyle,10163
Guy,9872
Salvatore,9852
Orville,9722
Delbert,9677
Billie,9548
Phillip,9525
Clayton,9414
Otis,9352
Archie,9293
Alex,9182
Angelo,9130
Mike,9076
Jacob,9046
Clifton,8733
Bennie,8596
Matthew,8567
Duane,8565
Clinton,8443
Dennis,8146
Wilbert,8114
Dan,8099
Jay,8054
Marshall,8039
Leland,8023
Merle,7970
Ira,7911
Nathaniel,7795
Ivan,7627
Ervin,7594
Jimmy,7332
Irvin,7246
Alton,7243
Lowell,7237
Dewey,7224
Larry,7219
Emil,7170
Antonio,7141
Wilfred,7134
Elbert,7076
Juan,7044
Alan,7013
Allan,6989
Lonnie,6979
Nelson,6927
Forrest,6910
